date,entity_id,primary_metric,secondary_metric,value_pool,quality_score,risk_score
2026-01-01,TRA001,45.2,60.5,159650,92.4,75.2
2026-01-01,TRA002,53.2,28.6,114384,64.8,26.4
2026-01-01,TRA003,45.9,23.9,13701,64.7,17.4
2026-01-01,TRA004,71.8,60.6,111793,93.1,82.9
2026-01-01,TRA005,51.5,65.1,119538,92.3,11.8
2026-01-01,TRA006,69.5,33.5,60735,95.3,78.5
2026-01-01,TRA007,46.4,41.3,16667,85.9,37.9
2026-01-01,TRA008,79.0,25.7,97616,90.7,83.3
2026-01-01,TRA009,94.4,52.4,135896,67.2,12.3
2026-01-01,TRA010,59.9,71.5,180500,95.7,93.4
2026-01-01,TRA011,60.4,64.6,176444,87.7,62.3
2026-01-01,TRA012,58.0,64.7,46517,93.0,27.1
2026-01-01,TRA013,82.6,76.7,97607,94.6,83.7
2026-01-01,TRA014,60.8,81.8,69039,78.8,76.2
2026-01-01,TRA015,73.9,37.5,156077,80.5,57.2
2026-01-01,TRA016,83.7,47.2,180943,63.3,24.3
2026-01-01,TRA017,84.2,54.4,127877,67.3,49.5
2026-01-01,TRA018,66.5,63.2,121881,74.9,46.7
2026-01-01,TRA019,41.7,54.1,114662,62.6,87.4
2026-01-01,TRA020,81.9,33.8,181408,90.9,61.8
2026-01-01,TRA021,87.7,18.5,159706,98.7,48.9
2026-01-01,TRA022,50.1,64.6,181628,83.7,80.1
2026-01-01,TRA023,89.0,27.0,109003,72.2,55.8
2026-01-01,TRA024,72.7,21.9,172499,74.6,69.3
2026-01-01,TRA025,71.6,33.6,149155,69.1,35.9
2026-01-01,TRA026,55.5,79.3,158716,84.5,78.4
2026-01-01,TRA027,79.0,83.0,48626,81.3,85.4
2026-01-01,TRA028,45.8,70.6,43092,82.2,13.5
2026-01-01,TRA029,55.5,64.1,173575,71.8,42.1
2026-01-01,TRA030,57.7,52.2,29782,95.4,42.4
2026-01-01,TRA031,51.7,43.2,23821,74.7,50.0
2026-01-01,TRA032,58.0,27.6,114974,89.1,68.6
2026-01-01,TRA033,48.3,40.5,74162,89.1,64.7
2026-01-01,TRA034,44.9,25.2,143909,97.2,90.3
2026-01-01,TRA035,87.4,54.6,139354,69.9,51.3
2026-01-01,TRA036,71.1,81.8,174306,97.4,77.0
2026-01-02,TRA001,50.5,55.1,180009,83.1,11.5
2026-01-02,TRA002,48.9,66.4,64897,91.6,86.0
2026-01-02,TRA003,46.1,34.9,131531,67.7,47.5
2026-01-02,TRA004,92.7,80.5,154920,97.9,23.3
2026-01-02,TRA005,56.1,39.4,116591,71.8,70.1
2026-01-02,TRA006,93.0,42.3,85845,90.0,58.9
2026-01-02,TRA007,44.8,31.9,8071,80.5,43.3
2026-01-02,TRA008,51.5,52.0,129071,81.3,91.5
2026-01-02,TRA009,66.7,76.2,75484,99.0,81.9
2026-01-02,TRA010,40.2,34.8,71775,98.0,33.8
2026-01-02,TRA011,42.3,50.5,64837,96.0,36.3
2026-01-02,TRA012,55.1,40.4,55059,96.1,8.2
2026-01-02,TRA013,93.0,72.7,174241,92.8,53.6
2026-01-02,TRA014,79.3,42.0,41403,97.0,61.6
2026-01-02,TRA015,49.3,28.0,144916,68.6,55.1
2026-01-02,TRA016,93.6,75.1,143322,98.4,67.3
2026-01-02,TRA017,70.8,44.3,176423,95.9,84.4
2026-01-02,TRA018,95.6,61.6,166566,69.8,61.5
2026-01-02,TRA019,47.3,63.6,66477,75.2,41.9
2026-01-02,TRA020,90.3,64.5,183632,90.1,56.9
2026-01-02,TRA021,93.4,34.1,55516,66.0,78.5
2026-01-02,TRA022,58.2,21.2,112024,87.6,50.1
2026-01-02,TRA023,78.6,31.1,77300,78.2,44.4
